"","ntrials","p","k"
"1",32,1,1
"2",32,0.99868,2
"3",32,0.92325,3
"4",32,0.66467,4
"5",32,0.39217,5
"6",32,0.20483,6
"7",32,0.10317,7
"8",32,0.04991,8
"9",32,0.02368,9
"10",32,0.01204,10
"11",32,0.00569,11
"12",32,0.00249,12
"13",32,0.00124,13
"14",32,0.00069,14
"15",32,0.00024,15
"16",32,5e-05,16
"17",32,8e-05,17
"18",32,3e-05,18
"19",32,1e-05,19
"20",32,1e-05,20
"21",32,0,21
"22",32,1e-05,22
"23",32,0,23
"24",32,0,24
"25",32,0,25
"26",32,0,26
"27",32,0,27
"28",32,0,28
"29",32,0,29
"30",32,0,30
"31",32,0,31
